Date,Title,URL
2021-09-13,Muktinath Capital Auctioning Promoter Shares of JBBL and PRIN from Bhadra 29,https://www.sharesansar.com/newsdetail/muktinath-capital-auctioning-promoter-shares-of-jbbl-and-prin-from-bhadra-29-2021-09-13
2021-08-22,Performance Of Development Bank in Fourth Quarter Summarized; A Look At Major Metrics,https://www.sharesansar.com/newsdetail/development-bank-comparative-draft-2021-08-22
2021-07-26,"""9% Jyoti Bikas Bank Bond 2087"" Allotted to Applicants",https://www.sharesansar.com/newsdetail/9-jyoti-bikas-bank-bond-2087-allotted-to-applicants-2021-07-26
2021-07-14,"""9% Jyoti Bikas Bank Bond 2087"" Closing Today",https://www.sharesansar.com/newsdetail/9-jyoti-bikas-bank-bond-2087-closing-today-2021-07-14
2021-07-07,"Deadline for ""9% Jyoti Bikas Bank Bond 2087"" Extended",https://www.sharesansar.com/newsdetail/deadline-for-9-jyoti-bikas-bank-bond-2087-extended-2021-07-07
2021-07-04,"Public Issue of ""9% Jyoti Bikas Bank Bond 2087"" Opening Today",https://www.sharesansar.com/newsdetail/public-issue-of-9-jyoti-bikas-bank-bond-2087-opening-today-2021-07-02
2021-06-25,"Public Issue of ""9% Jyoti Bikas Bank Bond 2087"" to Open from Ashar 20",https://www.sharesansar.com/newsdetail/public-issue-of-9-jyoti-bikas-bank-bond-2087-to-open-from-ashar-20-2021-06-25
2021-05-04,"If You Own Shares of These Companies, You'll Have to Manually Pay Tax on Bonus Shares; Here's How to Do It",https://www.sharesansar.com/newsdetail/if-you-own-shares-of-these-companies-youll-have-to-manually-pay-tax-on-bonus-shares-heres-how-to-do-it-2021-05-04
2021-05-03,How did development banks perform in third-quarter? Dive into comprehensive analysis of major indicators,https://www.sharesansar.com/newsdetail/development-bank-comparative-not-completed-dont-post-yet-2021-05-02
2021-04-22,Huge rise in other operating income results excellent rise in Net Profit of Jyoti Bikas Bank by 38.19% in Q3; EPS stands at Rs 20.89,https://www.sharesansar.com/newsdetail/huge-rise-in-other-operating-income-results-excellent-rise-in-net-profit-of-jyoti-bikas-bank-by-3819-in-q3-eps-stands-at-rs-2089-2021-04-22
2021-03-30,Promoter Shares of Jyoti Bikas Bank (JBBL) Converted; What's the New Shareholding Ratio?,https://www.sharesansar.com/newsdetail/promoter-shares-of-jyoti-bikas-bank-jbbl-converted-whats-the-new-shareholding-ratio-2021-03-30
2021-03-10,"""9%, 10 years, Jyoti Bikas Bank Bond 2087"" in SEBON's Pipeline",https://www.sharesansar.com/newsdetail/9-10-years-jyoti-bikas-bank-bond-2087-in-sebons-pipeline-2021-03-10
2021-03-09,Shares Listed: Bonus Shares of JBBL and NMB,https://www.sharesansar.com/newsdetail/shares-listed-bonus-shares-of-jbbl-and-nmb-2021-03-09
2021-02-08,Summarized in 5 Minutes: Performance of Development Banks in Second Quarter; A Look at Major Metrics,https://www.sharesansar.com/newsdetail/development-bank-comparative-q2-77-78-2021-02-07
2021-01-27,Jyoti Bikas Bank reported fair growth in Q2; EPS at Rs. 17.49,https://www.sharesansar.com/newsdetail/jyoti-bikas-bank-reported-fair-growth-in-q2-eps-at-rs-1749-2021-01-27
2021-01-12,Last Day to Grab 10% Dividend of Jyoti Bikash Bank (JBBL),https://www.sharesansar.com/newsdetail/last-day-to-grab-10-dividend-of-jyoti-bikash-bank-jbbl-2021-01-11
2021-01-04,Jyoti Bikash Bank (JBBL) Declares Book Closure and AGM; Agenda to Endorse Dividend and Approve Share Conversion,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-jbbl-declares-book-closure-and-agm-agenda-to-endorse-dividend-and-approve-share-conversion-2021-01-04
2020-12-18,Jyoti Bikash Bank Limited (JBBL) proposes 10% Bonus shares for FY 2076/77,https://www.sharesansar.com/newsdetail/jyoti-bikash-bank-limited-jbbl-proposes-10-bonus-shares-for-fy-207677-2020-12-18
2020-11-26,Get Rs 100 Bonus on Linking your Jyoti Bikash Bank Account with Khalti; customers can enjoy convenient transfer of fund,https://www.sharesansar.com/newsdetail/get-rs-100-bonus-on-linking-your-jyoti-bikash-bank-account-with-khalti-customers-can-enjoy-convenient-transfer-of-fund-2020-11-26
2020-11-23,How did Development Banks perform in the first quarter amidst the pandemic? Which companies fared the best?,https://www.sharesansar.com/newsdetail/development-bank-q1-comparative-2020-11-23
2020-11-03,Jyoti Bikas Bank to convert 3.35% of total shares from promoter to public; BOD authorizes CEO to initiate procedures,https://www.sharesansar.com/newsdetail/ceo-of-jyoti-bikash-bank-authorized-to-initiate-share-conversion-procedures-2020-11-03
2020-08-24,Look at comparison of major indicators of development banks based on fourth quarter report; Muktinath Bikas Bank maintains lead on majority of indicators,https://www.sharesansar.com/newsdetail/look-at-comparison-of-major-indicators-of-development-banks-based-on-fourth-quarter-report-muktinath-bikas-bank-maintains-lead-on-majority-of-indicators-2020-08-24
