Date,Open,High,Low,Close,Volume
8/29/2018,1177.07,1177.79,1171,1172.3,177668000
8/30/2018,1172.3,1181.69,1170.69,1181.69,185088000
9/2/2018,1181.69,1191.93,1178.59,1190.28,283239008
9/3/2018,1190.28,1213.86,1190.28,1206.26,519075008
9/4/2018,1206.31,1214.18,1202.68,1210.24,405795008
9/5/2018,1210.3,1243.57,1210.3,1234.13,690163008
9/6/2018,1234.15,1247.35,1224.25,1229.77,695782016
9/9/2018,1229.76,1230.37,1217.33,1218.98,298512992
9/10/2018,1219.13,1220.25,1206.88,1210.88,234584000
9/11/2018,1210.88,1224.6,1210.88,1217.65,314528000
9/12/2018,1217.65,1230.96,1215.62,1230.71,399812000
9/13/2018,1230.89,1246.24,1230.89,1244.84,687436992
9/16/2018,1244.99,1270.11,1244.99,1256.53,886097024
9/17/2018,1256.53,1261.19,1247.9,1256.4,579804992
9/18/2018,1256.44,1261.61,1251.25,1258.81,440420000
9/20/2018,1258.81,1260.96,1249.78,1255.07,528860992
9/23/2018,1255.09,1260.39,1250.9,1257.68,618721024
9/25/2018,1257.68,1283.45,1257.68,1283.45,1051049984
9/26/2018,1280.15,1288.5,1270.05,1277.74,890030016
9/27/2018,1277.85,1278.71,1266.18,1267.18,492740992
9/30/2018,1267.19,1267.76,1253.47,1256.71,561558976
10/1/2018,1256.71,1258.26,1238,1238.67,524752000
10/2/2018,1238.66,1247.44,1237.53,1241.36,440748992
10/3/2018,1241.36,1242.27,1230.6,1230.6,365169984
10/4/2018,1231.07,1231.84,1221.33,1227.37,396953984
10/7/2018,1227.37,1227.37,1212.88,1214.36,378448000
10/8/2018,1214.39,1222.74,1213.36,1220.52,360992992
10/9/2018,1220.53,1227.07,1217.06,1217.93,336793984
10/10/2018,1217.91,1218.86,1213.58,1218.33,218171008
10/11/2018,1218.33,1228.28,1214.77,1228.28,231244000
10/14/2018,1228.28,1242.43,1228.16,1242.43,265802000
